datum;kostenart;betrag;kostenstelle;ist_ausreisser
2024-11-28;Miete;47141;Verwaltung;False
2024-07-03;Sonstiges;50540;IT;False
2024-02-20;Energie;38312;Verwaltung;False
2024-07-08;Miete;32996;IT;False
2024-10-15;Personal;188503;Vertrieb;False
2024-05-13;Sonstiges;57954;Logistik;False
2024-08-01;Miete;42857;Vertrieb;False
2024-06-17;Personal;308833;IT;True
2024-09-12;Sonstiges;36864;Verwaltung;False
2024-09-07;Energie;36025;IT;False
2024-06-29;Personal;436018;Vertrieb;True
2024-04-04;Sonstiges;54337;Produktion;False
2024-01-18;Material;356693;Produktion;True
2024-07-30;Personal;215634;Vertrieb;True
2024-12-28;Personal;294672;Produktion;True
2024-09-15;Energie;28961;Verwaltung;False
2024-11-12;Sonstiges;63206;IT;False
2024-09-06;Material;781319;Produktion;True
2024-01-07;Material;638086;Logistik;True
2024-10-01;Miete;62913;Produktion;False
2024-12-23;Energie;32013;Vertrieb;False
2024-02-19;Sonstiges;35792;Vertrieb;False
2024-04-08;Sonstiges;36542;Logistik;False
2024-06-30;Miete;35178;IT;False
2024-07-10;Energie;62027;IT;False
2024-05-04;Personal;222266;Verwaltung;True
2024-11-30;Material;774965;Produktion;True
2024-07-13;Energie;56195;Logistik;False
2024-01-29;Material;436702;Vertrieb;True
2024-09-12;Energie;62083;Verwaltung;False
2024-02-18;Sonstiges;35057;Produktion;False
2024-04-18;Sonstiges;37766;IT;False
2024-01-24;Material;384500;Verwaltung;True
2024-04-01;Miete;43576;Produktion;False
2024-10-27;Personal;220337;IT;True
2024-06-02;Personal;306076;Logistik;True
2024-10-17;Energie;46740;Logistik;False
2024-07-15;Personal;442559;Produktion;True
2024-06-26;Material;808320;Produktion;True
2024-04-28;Material;765973;Verwaltung;True
2024-06-16;Material;822436;Verwaltung;True
2024-09-08;Personal;376831;Verwaltung;True
2024-08-09;Personal;379267;Logistik;True
2024-02-13;Sonstiges;36151;Verwaltung;False
2024-12-31;Material;630989;Produktion;True
2024-03-19;Energie;73474;Vertrieb;False
2024-07-18;Miete;36982;Verwaltung;False
2024-02-16;Material;816339;Verwaltung;True
2024-07-03;Miete;38683;Produktion;False
2024-02-14;Personal;415323;IT;True
2024-10-12;Sonstiges;46741;Logistik;False
2024-02-22;Material;721106;Produktion;True
2024-10-10;Material;690189;Logistik;True
2024-07-16;Material;783911;Verwaltung;True
2024-07-17;Material;604533;Logistik;True
2024-10-19;Sonstiges;64912;Vertrieb;False
2024-07-13;Personal;320990;Vertrieb;True
2024-06-03;Miete;39563;IT;False
2024-02-02;Personal;324683;IT;True
2024-08-03;Miete;81292;IT;False
2024-02-09;Miete;46160;Verwaltung;False
2024-11-16;Energie;65414;Logistik;False
2024-04-10;Energie;33879;Produktion;False
2024-06-04;Material;698354;IT;True
2024-11-13;Energie;53850;Verwaltung;False
2024-06-20;Energie;33921;Logistik;False
2024-06-02;Miete;75566;Logistik;False
2024-04-12;Energie;36641;Verwaltung;False
2024-07-22;Miete;78160;Verwaltung;False
2024-12-21;Energie;76247;Logistik;False
2024-05-04;Miete;48369;IT;False
2024-07-20;Miete;66952;Produktion;False
2024-04-12;Sonstiges;31791;Logistik;False
2024-12-15;Sonstiges;67658;Produktion;False
2024-08-24;Personal;332741;IT;True
2024-12-20;Material;873557;IT;True
2024-03-12;Miete;46559;Vertrieb;False
2024-12-03;Personal;377651;IT;True
2024-02-07;Energie;56407;Logistik;False
2024-10-25;Energie;58201;Logistik;False
2024-12-20;Energie;27409;Logistik;False
2024-07-03;Sonstiges;61823;Logistik;False
2024-02-13;Material;722253;Vertrieb;True
2024-03-26;Sonstiges;56911;Produktion;False
2024-11-26;Energie;77181;Verwaltung;False
2024-08-08;Material;453396;Produktion;True
2024-05-12;Personal;295884;Logistik;True
2024-08-16;Miete;60347;IT;False
2024-12-13;Sonstiges;29879;Logistik;False
2024-06-25;Material;459627;IT;True
2024-05-31;Energie;32606;Produktion;False
2024-03-13;Miete;52483;Verwaltung;False
2024-08-21;Personal;433192;Logistik;True
2024-06-27;Energie;53715;Produktion;False
2024-12-22;Energie;29402;Verwaltung;False
2024-06-02;Material;373682;Produktion;True
2024-06-24;Material;605761;Vertrieb;True
2024-09-21;Personal;263957;Logistik;True
2024-06-18;Sonstiges;50281;IT;False
2024-04-28;Energie;37215;Vertrieb;False
2024-11-23;Energie;26913;IT;False
2024-11-10;Personal;405209;IT;True
2024-07-18;Material;565780;Vertrieb;True
2024-05-22;Material;456694;Logistik;True
2024-10-01;Personal;350909;Verwaltung;True
2024-04-10;Energie;42193;Produktion;False
2024-12-09;Energie;66884;Logistik;False
2024-06-09;Sonstiges;60062;IT;False
2024-07-19;Sonstiges;42801;Produktion;False
2024-06-29;Energie;36306;Logistik;False
2024-12-10;Miete;68677;Logistik;False
2024-02-13;Personal;241793;Verwaltung;True
2024-05-02;Miete;41996;Produktion;False
2024-07-10;Personal;383666;Logistik;True
2024-08-02;Sonstiges;57670;Vertrieb;False
2024-07-15;Energie;56894;Vertrieb;False
2024-11-21;Sonstiges;56366;Vertrieb;False
2024-03-26;Energie;34194;Verwaltung;False
2024-04-05;Miete;70593;IT;False
2024-01-28;Miete;61759;Produktion;False
2024-03-10;Personal;444995;IT;True
2024-11-30;Energie;69872;IT;False
2024-09-08;Energie;57027;IT;False
2024-03-26;Material;382359;Logistik;True
2024-04-22;Miete;48012;Produktion;False
2024-04-25;Sonstiges;31023;Verwaltung;False
2024-08-22;Sonstiges;56026;IT;False
2024-09-18;Material;469754;Logistik;True
2024-05-17;Sonstiges;55523;Verwaltung;False
2024-01-22;Energie;39322;Logistik;False
2024-08-05;Material;662170;Vertrieb;True
2024-01-17;Energie;47844;Verwaltung;False
2024-02-14;Energie;75831;Produktion;False
2024-05-01;Personal;363831;Logistik;True
2024-12-29;Sonstiges;30877;IT;False
2024-11-11;Personal;288497;Vertrieb;True
2024-01-31;Sonstiges;54883;Verwaltung;False
