datum;kunde;produktgruppe;menge;einzelpreis;gesamtbetrag
2024-08-14;Bergmann Anlagenbau;Service;14;7104.0;99456
2024-10-07;Meier Produktion GmbH;Ersatzteile;16;1021.0;16336
2024-05-12;IndustriePartner KG;Wartung;17;4469.0;75973
2024-11-16;IndustriePartner KG;Wartung;15;1134.0;17010
2024-12-31;NordMaschinen GmbH;Ersatzteile;9;787.0;7083
2024-06-12;HanseTech AG;Maschinen;5;24884.0;124420
2024-04-28;KraftWerk Solutions;Ersatzteile;7;231.0;1617
2024-07-31;KraftWerk Solutions;Wartung;18;4316.0;77688
2024-07-31;Müller GmbH;Ersatzteile;14;897.0;12558
2024-10-26;Müller GmbH;Service;13;4207.0;54691
2024-01-04;Alpha Components GmbH;Wartung;13;3932.0;51116
2024-10-02;HanseTech AG;Service;8;4299.0;34392
2024-04-22;NordMaschinen GmbH;Software;16;1475.0;23600
2024-07-18;Alpha Components GmbH;Software;6;14770.0;88620
2024-08-27;TechBau GmbH;Service;18;520.0;9360
2024-07-20;Bergmann Anlagenbau;Service;1;987.0;987
2024-11-25;KraftWerk Solutions;Ersatzteile;15;472.0;7080
2024-01-26;NordMaschinen GmbH;Software;11;4467.0;49137
2024-08-20;Alpha Components GmbH;Wartung;13;2779.0;36127
2024-08-03;NordMaschinen GmbH;Maschinen;16;16270.0;260320
2024-10-03;Müller GmbH;Wartung;8;1062.0;8496
2024-11-29;Müller GmbH;Maschinen;8;28065.0;224520
2024-01-11;Bergmann Anlagenbau;Ersatzteile;8;358.0;2864
2024-08-30;Schmidt AG;Service;7;4109.0;28763
2024-12-24;NordMaschinen GmbH;Wartung;6;1438.0;8628
2024-03-24;NordMaschinen GmbH;Maschinen;19;16682.0;316958
2024-06-08;Bergmann Anlagenbau;Software;13;12714.0;165282
2024-04-11;Schmidt AG;Service;8;1134.0;9072
2024-12-22;NordMaschinen GmbH;Service;4;6822.0;27288
2024-10-16;Müller GmbH;Wartung;18;4009.0;72162
2024-12-04;Alpha Components GmbH;Maschinen;17;57437.0;976429
2024-06-23;Müller GmbH;Software;16;2729.0;43664
2024-08-09;Alpha Components GmbH;Software;5;8135.0;40675
2024-03-31;HanseTech AG;Wartung;20;4908.0;98160
2024-09-04;Meier Produktion GmbH;Software;19;5397.0;102543
2024-06-14;IndustriePartner KG;Maschinen;9;72778.0;655002
2024-08-18;IndustriePartner KG;Software;19;10999.0;208981
2024-12-08;KraftWerk Solutions;Wartung;1;4549.0;4549
2024-06-15;TechBau GmbH;Software;7;6813.0;47691
2024-05-12;Alpha Components GmbH;Wartung;20;2763.0;55260
2024-10-11;Müller GmbH;Service;7;1001.0;7007
2024-05-03;KraftWerk Solutions;Software;18;13421.0;241578
2024-05-03;Meier Produktion GmbH;Software;15;13991.0;209865
2024-01-09;Schmidt AG;Wartung;8;3812.0;30496
2024-12-20;IndustriePartner KG;Wartung;19;3523.0;66937
2024-08-30;HanseTech AG;Service;12;3785.0;45420
2024-10-08;Alpha Components GmbH;Wartung;15;2719.0;40785
2024-06-05;NordMaschinen GmbH;Ersatzteile;4;1577.0;6308
2024-04-08;Alpha Components GmbH;Maschinen;18;77316.0;1391688
2024-12-19;TechBau GmbH;Ersatzteile;7;1612.0;11284
2024-09-04;NordMaschinen GmbH;Service;17;5188.0;88196
2024-05-24;Schmidt AG;Ersatzteile;10;565.0;5650
2024-07-03;TechBau GmbH;Wartung;1;4875.0;4875
2024-03-05;NordMaschinen GmbH;Maschinen;2;51264.0;102528
2024-05-29;TechBau GmbH;Software;4;1200.0;4800
2024-10-20;NordMaschinen GmbH;Software;16;8216.0;131456
2024-06-23;TechBau GmbH;Maschinen;9;76673.0;690057
2024-09-01;Schmidt AG;Maschinen;13;47227.0;613951
2024-02-07;Bergmann Anlagenbau;Maschinen;5;24777.0;123885
2024-10-15;NordMaschinen GmbH;Maschinen;8;22762.0;182096
2024-10-12;KraftWerk Solutions;Service;20;6777.0;135540
2024-11-12;IndustriePartner KG;Service;13;3990.0;51870
2024-08-14;NordMaschinen GmbH;Service;14;2801.0;39214
2024-10-18;Bergmann Anlagenbau;Maschinen;20;77921.0;1558420
2024-02-20;IndustriePartner KG;Ersatzteile;9;1452.0;13068
2024-02-11;TechBau GmbH;Ersatzteile;6;1230.0;7380
2024-02-08;TechBau GmbH;Maschinen;14;44524.0;623336
2024-12-18;Bergmann Anlagenbau;Software;10;1534.0;15340
2024-04-28;NordMaschinen GmbH;Wartung;15;1083.0;16245
2024-12-17;IndustriePartner KG;Wartung;19;2120.0;40280
2024-08-05;Schmidt AG;Service;8;5605.0;44840
2024-03-17;NordMaschinen GmbH;Ersatzteile;3;222.0;666
2024-03-25;NordMaschinen GmbH;Service;19;7846.0;149074
2024-05-27;Meier Produktion GmbH;Maschinen;15;60133.0;901995
2024-06-04;KraftWerk Solutions;Wartung;17;4923.0;83691
2024-09-09;Meier Produktion GmbH;Maschinen;20;17612.0;352240
2024-08-09;Alpha Components GmbH;Service;9;511.0;4599
2024-02-16;IndustriePartner KG;Service;19;469.0;8911
2024-12-10;NordMaschinen GmbH;Service;2;6551.0;13102
2024-03-30;Meier Produktion GmbH;Service;15;7804.0;117060
2024-05-22;TechBau GmbH;Service;14;5500.0;77000
2024-09-08;Schmidt AG;Software;12;7690.0;92280
2024-06-19;Alpha Components GmbH;Maschinen;6;36614.0;219684
2024-07-29;Meier Produktion GmbH;Wartung;13;800.0;10400
2024-08-20;Schmidt AG;Wartung;9;3148.0;28332
2024-02-29;KraftWerk Solutions;Service;1;5687.0;5687
2024-10-04;Meier Produktion GmbH;Software;2;4073.0;8146
2024-09-22;Alpha Components GmbH;Service;16;5423.0;86768
2024-08-14;Müller GmbH;Ersatzteile;9;1224.0;11016
2024-03-08;NordMaschinen GmbH;Software;16;2989.0;47824
2024-01-15;Bergmann Anlagenbau;Ersatzteile;6;736.0;4416
2024-10-09;Müller GmbH;Service;14;1063.0;14882
2024-04-25;Schmidt AG;Software;4;11612.0;46448
2024-03-19;Meier Produktion GmbH;Wartung;17;2739.0;46563
2024-07-31;Meier Produktion GmbH;Software;8;8483.0;67864
2024-10-09;TechBau GmbH;Software;7;10820.0;75740
2024-09-17;TechBau GmbH;Maschinen;9;65638.0;590742
2024-07-31;Alpha Components GmbH;Service;9;7021.0;63189
2024-01-02;NordMaschinen GmbH;Wartung;19;4511.0;85709
2024-03-17;Meier Produktion GmbH;Service;16;3127.0;50032
2024-06-19;HanseTech AG;Service;13;4030.0;52390
2024-06-13;IndustriePartner KG;Ersatzteile;19;884.0;16796
2024-04-29;KraftWerk Solutions;Maschinen;11;63804.0;701844
2024-08-30;KraftWerk Solutions;Software;5;9115.0;45575
2024-01-19;TechBau GmbH;Service;19;3019.0;57361
2024-02-21;Meier Produktion GmbH;Maschinen;17;74666.0;1269322
2024-08-21;Müller GmbH;Ersatzteile;14;1883.0;26362
2024-12-01;TechBau GmbH;Maschinen;16;66218.0;1059488
2024-05-15;Alpha Components GmbH;Service;13;5623.0;73099
2024-02-11;Alpha Components GmbH;Service;13;2894.0;37622
2024-11-16;Meier Produktion GmbH;Service;2;5358.0;10716
2024-02-05;IndustriePartner KG;Wartung;8;1240.0;9920
2024-08-10;Schmidt AG;Maschinen;15;25902.0;388530
2024-12-21;NordMaschinen GmbH;Maschinen;2;36258.0;72516
2024-01-29;NordMaschinen GmbH;Wartung;12;4028.0;48336
2024-03-15;IndustriePartner KG;Service;14;4936.0;69104
2024-12-15;TechBau GmbH;Ersatzteile;6;261.0;1566
2024-11-08;KraftWerk Solutions;Service;8;4376.0;35008
2024-10-25;TechBau GmbH;Ersatzteile;15;1406.0;21090
2024-05-10;Meier Produktion GmbH;Wartung;1;4311.0;4311
2024-05-27;HanseTech AG;Ersatzteile;3;1004.0;3012
2024-06-25;Bergmann Anlagenbau;Wartung;14;2548.0;35672
2024-08-21;NordMaschinen GmbH;Ersatzteile;13;1847.0;24011
2024-09-04;Schmidt AG;Ersatzteile;13;1271.0;16523
2024-07-02;Bergmann Anlagenbau;Wartung;10;679.0;6790
2024-12-03;KraftWerk Solutions;Wartung;1;901.0;901
2024-11-06;Meier Produktion GmbH;Wartung;8;3386.0;27088
2024-04-22;IndustriePartner KG;Service;9;5852.0;52668
2024-12-03;TechBau GmbH;Maschinen;2;35246.0;70492
2024-08-13;Müller GmbH;Service;12;6299.0;75588
2024-03-08;Schmidt AG;Wartung;11;3903.0;42933
2024-03-30;IndustriePartner KG;Ersatzteile;18;1894.0;34092
2024-07-06;HanseTech AG;Service;9;7103.0;63927
2024-03-25;NordMaschinen GmbH;Software;10;13231.0;132310
2024-06-22;Schmidt AG;Software;3;3306.0;9918
2024-04-25;KraftWerk Solutions;Service;12;1039.0;12468
2024-07-21;Müller GmbH;Wartung;18;1512.0;27216
2024-08-20;Alpha Components GmbH;Wartung;19;3621.0;68799
2024-11-22;Alpha Components GmbH;Maschinen;8;45898.0;367184
2024-01-13;Bergmann Anlagenbau;Service;11;7797.0;85767
2024-11-08;IndustriePartner KG;Maschinen;15;74597.0;1118955
2024-12-24;NordMaschinen GmbH;Software;4;3290.0;13160
2024-01-24;Müller GmbH;Wartung;16;1451.0;23216
2024-02-19;IndustriePartner KG;Service;5;3483.0;17415
2024-08-20;Alpha Components GmbH;Service;14;5111.0;71554
2024-03-20;KraftWerk Solutions;Maschinen;16;55347.0;885552
2024-07-27;NordMaschinen GmbH;Maschinen;12;29238.0;350856
2024-08-15;Meier Produktion GmbH;Ersatzteile;12;303.0;3636
2024-12-17;Alpha Components GmbH;Service;12;796.0;9552
2024-07-22;NordMaschinen GmbH;Ersatzteile;4;1836.0;7344
2024-08-20;Schmidt AG;Ersatzteile;20;143.0;2860
2024-01-26;Alpha Components GmbH;Ersatzteile;5;1711.0;8555
2024-10-16;IndustriePartner KG;Maschinen;18;28576.0;514368
2024-10-27;IndustriePartner KG;Ersatzteile;11;1685.0;18535
2024-03-16;Bergmann Anlagenbau;Maschinen;9;71256.0;641304
2024-03-15;TechBau GmbH;Service;9;6841.0;61569
2024-03-30;Schmidt AG;Maschinen;5;15973.0;79865
2024-07-02;IndustriePartner KG;Service;11;429.0;4719
2024-03-30;NordMaschinen GmbH;Maschinen;5;63609.0;318045
2024-08-03;HanseTech AG;Maschinen;3;46211.0;138633
2024-08-17;Alpha Components GmbH;Service;19;1193.0;22667
2024-08-19;HanseTech AG;Ersatzteile;20;188.0;3760
2024-12-03;HanseTech AG;Wartung;15;755.0;11325
2024-02-01;Meier Produktion GmbH;Software;14;12241.0;171374
2024-02-25;Meier Produktion GmbH;Software;3;2323.0;6969
2024-06-13;Bergmann Anlagenbau;Ersatzteile;3;358.0;1074
2024-05-20;Bergmann Anlagenbau;Service;18;6133.0;110394
2024-06-15;KraftWerk Solutions;Service;17;2715.0;46155
2024-08-20;HanseTech AG;Service;14;1112.0;15568
2024-12-25;Schmidt AG;Service;7;3823.0;26761
2024-08-19;IndustriePartner KG;Software;11;14556.0;160116
2024-08-20;KraftWerk Solutions;Software;4;6120.0;24480
2024-08-06;Alpha Components GmbH;Wartung;12;1750.0;21000
2024-12-17;Meier Produktion GmbH;Maschinen;3;69511.0;208533
2024-02-13;Schmidt AG;Software;4;13199.0;52796
2024-07-09;TechBau GmbH;Service;2;5104.0;10208
2024-10-14;HanseTech AG;Wartung;4;3865.0;15460
2024-06-30;KraftWerk Solutions;Maschinen;10;54348.0;543480
2024-06-08;Alpha Components GmbH;Maschinen;19;48253.0;916807
2024-04-18;TechBau GmbH;Software;8;14881.0;119048
2024-02-25;Alpha Components GmbH;Service;12;1241.0;14892
2024-05-22;Bergmann Anlagenbau;Ersatzteile;14;1830.0;25620
2024-10-14;Bergmann Anlagenbau;Service;18;515.0;9270
2024-11-07;NordMaschinen GmbH;Maschinen;6;32909.0;197454
2024-12-25;NordMaschinen GmbH;Wartung;12;550.0;6600
2024-04-02;TechBau GmbH;Service;13;870.0;11310
2024-03-13;Müller GmbH;Maschinen;17;29098.0;494666
2024-07-11;KraftWerk Solutions;Software;11;3578.0;39358
2024-07-08;NordMaschinen GmbH;Wartung;19;1195.0;22705
2024-01-27;TechBau GmbH;Ersatzteile;20;201.0;4020
2024-12-11;Schmidt AG;Wartung;15;3973.0;59595
2024-09-05;Bergmann Anlagenbau;Software;14;5475.0;76650
2024-04-20;HanseTech AG;Maschinen;12;43174.0;518088
2024-02-26;NordMaschinen GmbH;Service;16;4616.0;73856
2024-12-07;NordMaschinen GmbH;Maschinen;8;40903.0;327224
2024-11-02;Müller GmbH;Maschinen;7;34753.0;243271
2024-04-18;TechBau GmbH;Wartung;10;3187.0;31870
2024-03-02;Müller GmbH;Software;14;3878.0;54292
2024-03-07;KraftWerk Solutions;Service;8;4398.0;35184
2024-10-13;Alpha Components GmbH;Maschinen;13;71476.0;929188
2024-01-22;KraftWerk Solutions;Maschinen;15;75369.0;1130535
2024-02-09;Alpha Components GmbH;Service;14;4997.0;69958
2024-07-26;KraftWerk Solutions;Wartung;4;3818.0;15272
2024-01-11;Alpha Components GmbH;Ersatzteile;20;1042.0;20840
2024-12-19;Alpha Components GmbH;Maschinen;14;70344.0;984816
2024-02-24;IndustriePartner KG;Software;19;7560.0;143640
2024-09-25;Schmidt AG;Software;10;13219.0;132190
2024-06-22;IndustriePartner KG;Wartung;6;1125.0;6750
2024-09-18;Schmidt AG;Service;17;1888.0;32096
2024-06-27;Alpha Components GmbH;Ersatzteile;8;310.0;2480
2024-03-15;NordMaschinen GmbH;Ersatzteile;6;1333.0;7998
2024-03-19;Schmidt AG;Ersatzteile;16;1050.0;16800
2024-10-15;Bergmann Anlagenbau;Software;19;11534.0;219146
2024-11-21;Bergmann Anlagenbau;Wartung;11;1736.0;19096
2024-08-13;Schmidt AG;Software;15;11344.0;170160
2024-06-04;NordMaschinen GmbH;Service;2;3183.0;6366
2024-09-16;Schmidt AG;Wartung;15;4202.0;63030
2024-01-20;Müller GmbH;Wartung;10;1128.0;11280
2024-11-26;Schmidt AG;Service;20;4453.0;89060
2024-07-15;Meier Produktion GmbH;Service;18;6786.0;122148
2024-01-22;Meier Produktion GmbH;Service;7;2933.0;20531
2024-11-05;Meier Produktion GmbH;Service;5;806.0;4030
2024-08-18;Schmidt AG;Wartung;3;4633.0;13899
2024-11-26;TechBau GmbH;Maschinen;8;61374.0;490992
2024-08-12;Meier Produktion GmbH;Service;17;5295.0;90015
2024-03-22;Alpha Components GmbH;Wartung;10;3673.0;36730
2024-07-28;Alpha Components GmbH;Service;2;6765.0;13530
2024-11-19;Alpha Components GmbH;Maschinen;11;21193.0;233123
2024-10-12;KraftWerk Solutions;Wartung;9;1731.0;15579
2024-06-19;Schmidt AG;Service;5;7809.0;39045
2024-06-28;NordMaschinen GmbH;Software;5;10749.0;53745
2024-12-28;Schmidt AG;Wartung;18;3585.0;64530
2024-11-25;Alpha Components GmbH;Ersatzteile;17;291.0;4947
2024-11-26;KraftWerk Solutions;Service;12;449.0;5388
2024-07-04;NordMaschinen GmbH;Ersatzteile;7;799.0;5593
2024-09-05;IndustriePartner KG;Ersatzteile;5;417.0;2085
2024-02-09;NordMaschinen GmbH;Maschinen;17;65520.0;1113840
2024-10-03;HanseTech AG;Maschinen;11;72435.0;796785
2024-11-12;TechBau GmbH;Service;13;1563.0;20319
2024-03-24;TechBau GmbH;Service;6;6207.0;37242
2024-08-12;Müller GmbH;Software;12;12081.0;144972
2024-05-01;Meier Produktion GmbH;Service;10;6463.0;64630
2024-08-17;IndustriePartner KG;Service;8;2835.0;22680
2024-08-28;IndustriePartner KG;Wartung;19;4109.0;78071
2024-08-24;NordMaschinen GmbH;Software;17;9641.0;163897
2024-08-02;TechBau GmbH;Ersatzteile;20;383.0;7660
2024-05-08;Müller GmbH;Software;12;10085.0;121020
2024-02-22;HanseTech AG;Maschinen;10;20496.0;204960
2024-03-23;NordMaschinen GmbH;Software;17;3414.0;58038
2024-08-11;Schmidt AG;Ersatzteile;15;1911.0;28665
2024-06-27;Müller GmbH;Software;2;7495.0;14990
2024-09-14;Alpha Components GmbH;Ersatzteile;13;267.0;3471
2024-07-10;IndustriePartner KG;Maschinen;11;76002.0;836022
2024-02-20;Alpha Components GmbH;Ersatzteile;5;178.0;890
2024-05-26;Meier Produktion GmbH;Ersatzteile;16;1018.0;16288
2024-11-11;Müller GmbH;Maschinen;1;31772.0;31772
2024-04-20;TechBau GmbH;Service;20;4623.0;92460
2024-08-04;Schmidt AG;Wartung;8;2967.0;23736
2024-03-03;Müller GmbH;Ersatzteile;14;1408.0;19712
2024-11-14;Meier Produktion GmbH;Maschinen;4;69833.0;279332
2024-09-12;Bergmann Anlagenbau;Service;1;5476.0;5476
2024-09-20;Bergmann Anlagenbau;Ersatzteile;5;696.0;3480
2024-08-07;Müller GmbH;Service;12;2270.0;27240
2024-10-19;KraftWerk Solutions;Ersatzteile;3;1172.0;3516
2024-07-03;Schmidt AG;Service;18;4456.0;80208
2024-09-16;HanseTech AG;Maschinen;13;72234.0;939042
2024-08-28;Müller GmbH;Software;12;5155.0;61860
2024-01-09;Alpha Components GmbH;Maschinen;12;30802.0;369624
2024-12-02;Schmidt AG;Service;11;1392.0;15312
2024-01-23;Alpha Components GmbH;Service;11;6964.0;76604
2024-11-25;TechBau GmbH;Software;16;11350.0;181600
2024-04-03;TechBau GmbH;Maschinen;15;17423.0;261345
2024-05-30;IndustriePartner KG;Maschinen;7;73051.0;511357
2024-01-22;Alpha Components GmbH;Wartung;17;3762.0;63954
2024-10-05;Meier Produktion GmbH;Wartung;2;2065.0;4130
2024-05-26;Alpha Components GmbH;Maschinen;11;32905.0;361955
2024-03-04;Alpha Components GmbH;Software;13;13178.0;171314
2024-08-13;KraftWerk Solutions;Wartung;6;4564.0;27384
2024-12-20;Meier Produktion GmbH;Wartung;17;2684.0;45628
2024-02-12;KraftWerk Solutions;Maschinen;14;54482.0;762748
2024-04-02;HanseTech AG;Wartung;11;1340.0;14740
2024-02-10;Alpha Components GmbH;Wartung;10;4152.0;41520
2024-11-04;KraftWerk Solutions;Ersatzteile;15;819.0;12285
2024-08-16;Müller GmbH;Wartung;20;4063.0;81260
2024-05-20;Müller GmbH;Maschinen;13;38809.0;504517
2024-09-19;TechBau GmbH;Maschinen;5;70618.0;353090
2024-11-07;Meier Produktion GmbH;Maschinen;5;19406.0;97030
2024-04-30;Alpha Components GmbH;Wartung;13;765.0;9945
2024-11-05;TechBau GmbH;Software;12;7095.0;85140
2024-08-15;Schmidt AG;Service;5;4637.0;23185
2024-07-06;KraftWerk Solutions;Wartung;9;2544.0;22896
2024-02-28;Müller GmbH;Ersatzteile;16;1160.0;18560
2024-07-17;HanseTech AG;Maschinen;9;65788.0;592092
2024-05-13;Meier Produktion GmbH;Ersatzteile;20;684.0;13680
2024-12-21;Meier Produktion GmbH;Ersatzteile;4;377.0;1508
2024-02-07;Meier Produktion GmbH;Ersatzteile;15;279.0;4185
2024-12-15;Alpha Components GmbH;Wartung;3;4941.0;14823
2024-05-28;NordMaschinen GmbH;Ersatzteile;6;1725.0;10350
2024-07-04;HanseTech AG;Ersatzteile;4;511.0;2044
2024-03-12;IndustriePartner KG;Software;1;6912.0;6912
2024-10-10;Bergmann Anlagenbau;Wartung;15;1563.0;23445
2024-11-09;Schmidt AG;Maschinen;10;41093.0;410930
2024-09-02;HanseTech AG;Software;14;14489.0;202846
2024-10-21;Schmidt AG;Ersatzteile;11;1415.0;15565
2024-02-07;Meier Produktion GmbH;Software;17;6644.0;112948
2024-03-06;HanseTech AG;Service;6;6589.0;39534
2024-03-07;KraftWerk Solutions;Service;2;7110.0;14220
2024-03-04;HanseTech AG;Ersatzteile;10;437.0;4370
2024-03-23;Alpha Components GmbH;Ersatzteile;12;1162.0;13944
2024-05-25;Schmidt AG;Wartung;7;2748.0;19236
2024-03-05;NordMaschinen GmbH;Service;18;1065.0;19170
2024-09-14;TechBau GmbH;Service;19;1563.0;29697
2024-03-28;Bergmann Anlagenbau;Service;11;7202.0;79222
2024-10-15;Müller GmbH;Maschinen;3;17979.0;53937
2024-11-24;Bergmann Anlagenbau;Wartung;7;3912.0;27384
2024-11-12;Müller GmbH;Software;18;5745.0;103410
2024-11-24;NordMaschinen GmbH;Software;8;14184.0;113472
2024-12-16;KraftWerk Solutions;Wartung;15;1097.0;16455
