datum;kostenart;betrag;kostenstelle
2024-10-27;Personal;220337;IT
2024-06-02;Personal;306076;Logistik
2024-10-17;Energie;46740;Logistik
2024-07-15;Personal;442559;Produktion
2024-06-26;Material;808320;Produktion
2024-04-28;Material;765973;Verwaltung
2024-06-16;Material;822436;Verwaltung
2024-09-08;Personal;376831;Verwaltung
2024-08-09;Personal;379267;Logistik
2024-02-13;Sonstiges;36151;Verwaltung
2024-12-31;Material;630989;Produktion
2024-03-19;Energie;73474;Vertrieb
2024-07-18;Miete;36982;Verwaltung
2024-02-16;Material;816339;Verwaltung
2024-07-03;Miete;38683;Produktion
2024-02-14;Personal;415323;IT
2024-10-12;Sonstiges;46741;Logistik
2024-02-22;Material;721106;Produktion
2024-10-10;Material;690189;Logistik
2024-07-16;Material;783911;Verwaltung
2024-07-17;Material;604533;Logistik
2024-10-19;Sonstiges;64912;Vertrieb
2024-07-13;Personal;320990;Vertrieb
2024-06-03;Miete;39563;IT
2024-02-02;Personal;324683;IT
2024-08-03;Miete;81292;IT
2024-02-09;Miete;46160;Verwaltung
2024-11-16;Energie;65414;Logistik
2024-04-10;Energie;33879;Produktion
2024-06-04;Material;698354;IT
2024-11-13;Energie;53850;Verwaltung
2024-06-20;Energie;33921;Logistik
2024-06-02;Miete;75566;Logistik
2024-04-12;Energie;36641;Verwaltung
2024-07-22;Miete;78160;Verwaltung
2024-12-21;Energie;76247;Logistik
2024-05-04;Miete;48369;IT
2024-07-20;Miete;66952;Produktion
2024-04-12;Sonstiges;31791;Logistik
2024-12-15;Sonstiges;67658;Produktion
2024-08-24;Personal;332741;IT
2024-12-20;Material;873557;IT
2024-03-12;Miete;46559;Vertrieb
2024-12-03;Personal;377651;IT
2024-02-07;Energie;56407;Logistik
2024-10-25;Energie;58201;Logistik
2024-12-20;Energie;27409;Logistik
2024-07-03;Sonstiges;61823;Logistik
2024-02-13;Material;722253;Vertrieb
2024-03-26;Sonstiges;56911;Produktion
2024-11-26;Energie;77181;Verwaltung
2024-08-08;Material;453396;Produktion
2024-05-12;Personal;295884;Logistik
2024-08-16;Miete;60347;IT
2024-12-13;Sonstiges;29879;Logistik
2024-06-25;Material;459627;IT
2024-05-31;Energie;32606;Produktion
2024-03-13;Miete;52483;Verwaltung
2024-08-21;Personal;433192;Logistik
2024-06-27;Energie;53715;Produktion
2024-12-22;Energie;29402;Verwaltung
2024-06-02;Material;373682;Produktion
2024-06-24;Material;605761;Vertrieb
2024-09-21;Personal;263957;Logistik
2024-06-18;Sonstiges;50281;IT
2024-04-28;Energie;37215;Vertrieb
2024-11-23;Energie;26913;IT
2024-11-10;Personal;405209;IT
2024-07-18;Material;565780;Vertrieb
2024-05-22;Material;456694;Logistik
2024-10-01;Personal;350909;Verwaltung
2024-04-10;Energie;42193;Produktion
2024-12-09;Energie;66884;Logistik
2024-06-09;Sonstiges;60062;IT
2024-07-19;Sonstiges;42801;Produktion
2024-06-29;Energie;36306;Logistik
2024-12-10;Miete;68677;Logistik
2024-02-13;Personal;241793;Verwaltung
2024-05-02;Miete;41996;Produktion
2024-07-10;Personal;383666;Logistik
2024-08-02;Sonstiges;57670;Vertrieb
2024-07-15;Energie;56894;Vertrieb
2024-11-21;Sonstiges;56366;Vertrieb
2024-03-26;Energie;34194;Verwaltung
2024-04-05;Miete;70593;IT
2024-01-28;Miete;61759;Produktion
2024-03-10;Personal;444995;IT
2024-11-30;Energie;69872;IT
2024-09-08;Energie;57027;IT
2024-03-26;Material;382359;Logistik
2024-04-22;Miete;48012;Produktion
2024-04-25;Sonstiges;31023;Verwaltung
2024-08-22;Sonstiges;56026;IT
2024-09-18;Material;469754;Logistik
2024-05-17;Sonstiges;55523;Verwaltung
2024-01-22;Energie;39322;Logistik
2024-08-05;Material;662170;Vertrieb
2024-01-17;Energie;47844;Verwaltung
2024-02-14;Energie;75831;Produktion
2024-05-01;Personal;363831;Logistik
2024-12-29;Sonstiges;30877;IT
2024-11-11;Personal;288497;Vertrieb
2024-01-31;Sonstiges;54883;Verwaltung
2024-12-07;Material;671709;IT
